"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[BETA] SPD Maquina Safrapay","[M.5.3.0][INPUT] Cancelar Venda","exceptionType","quickReply",""
"[BETA] SPD Maquina Safrapay","[M.5.4.0][MSG] Instrucoes sem senha","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[M.5.4.0][INPUT] Instrucoes sem senha","exceptionType","quickReply",""
"[BETA] SPD Maquina Safrapay","[M.5.3.1][MSG] Qual transacao","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[M.5.3.1][INPUT] Qual trasacao","tipoDeTransacaoCancelada","{{userInput}}",""
"[BETA] SPD Maquina Safrapay","[M.5.3.1][INPUT] Qual trasacao","exceptionType","lista",""
"[BETA] SPD Maquina Safrapay","[M.5.7.0][MSG] Como podemos ajudar? (EMP1)","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[M.5.7.0][INPUT] Como podemos ajudar? (EMP1)","exceptionType","lista",""
"[BETA] SPD Maquina Safrapay","[M.5.5.0][MSG] Conseguimos te ajudar?","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[M.5.5.0][INPUT] Conseguimos te ajudar?","exceptionType","quickReply",""
"[BETA] SPD Maquina Safrapay","[Redirect] to Atendimento Humano","state","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.9.0.0][MSG] Como fazer Downgrade/Upgrade","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.9.0.0][INPUT] Como fazer Downgrade/Upgrade","exceptionType","quickReply",""
"[BETA] SPD Maquina Safrapay","[Redirect] To Main (Menu inicial)","state","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.10.0.0][MSG] Menu Antecipação","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.10.0.0][INPUT] Menu Antecipação","exceptionType","lista",""
"[BETA] SPD Maquina Safrapay","[M.10.5.0][MSG] Como podemos ajudar? (EMP1)","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[M.10.5.0][INPUT] Como podemos ajudar? (EMP1)","exceptionType","lista",""
"[BETA] SPD Maquina Safrapay","[M.10.3.1][MSG] Menu Sem Carteira","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[M.10.3.1][INPUT] Menu Sem Carteira","exceptionType","lista",""
"[BETA] SPD Maquina Safrapay","[M.10.3.1][MSG] Conseguimos te ajudar?","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[M.10.3][INPUT] Conseguimos te ajudar?","exceptionType","quickReply",""
"[BETA] SPD Maquina Safrapay","[Redirect] to Autenticacao (Falar sobre conta)","state","Execução de script",""
"[BETA] SPD Maquina Safrapay","[Redirect] to Autenticacao (Whatsapp PJ Atendente)","state","Execução de script",""
